Time,4047
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,0.0487920798276,[0 -1 0 0 0 0 0]
Fit,0.0394672461102,[1 -3 -1 0 0 0 0]
K,0.00535371993891,[0 0 1 0 0 0 0]
TCAT Approx 1,1.44073254128e-13,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000299,[1 -3 0 0 0 0 0]
Macroscale U,(0.00615338357642 -0.000207354141246 5.09667594714e-05),[0 1 -1 0 0 0 0]
Macroscale p,29.9215242907,[1 -1 -2 0 0 0 0]
Macroscale t,(-29.9215243213 1.53892730865e-08 8.31501000033e-09 1.53892730865e-08 -29.9215243001 4.22043975407e-10 8.31501000033e-09 4.22043975407e-10 -29.9215242969),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.68004486914e-07 7.21288980145e-06 4.63334624155e-06 7.21288980145e-06 -3.8424462897e-09 1.39876479923e-10 4.63334624155e-06 1.39876479923e-10 -4.98863425451e-09),[0 0 -1 0 0 0 0]
Macroscale mu,29921.5242748,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005181,[0 2 -2 0 0 0 0]
Mass error,-5.4262816957e-16,[1 -3 -1 0 0 0 0]
Momentum error,(-6.63591188943e-09 -6.7211512584e-09 3.06319544703e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(3.48506942844e-09 1.15891465116e-10 9.51159112245e-11),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002935 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.5916851865 1.19247486419e-05 5.93719007788e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.0823216849719 -1.19179115992e-05 -5.94015815742e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.59168441787 -1.20804779427e-05 -5.70624662162e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.59167698595 -1.20668239769e-05 -6.00484252436e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.5919134134 -4.60209783951e-06 -3.03586102488e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055629 4.60803902377e-06 3.06593439726e-06),[1 -2 -2 0 0 0 0]
