Time,2042
domain_center,(2.97014829321 2.97089197075 2.97074207441)
Reynolds Number,0.00243969292765,[0 -1 0 0 0 0 0]
Fit,0.0394103642059,[1 -3 -1 0 0 0 0]
K,0.00536144708864,[0 0 1 0 0 0 0]
TCAT Approx 1,3.35325756261e-16,[1 -1 -3 0 0 0 0]
e_w,0.459670079298,[0 0 0 0 0 0 0]
e_ws,2.16051718183,[0 -1 0 0 0 0 0]
sauder mean diameter,7.05284000465,[0 0 0 0 0 0 0]
Domain Volume,210.190741338,[0 3 0 0 0 0 0]
w_volume,96.6183947385,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000299,[1 -3 0 0 0 0 0]
Macroscale U,(0.000307667991371 -1.0688028257e-05 2.71850513449e-06),[0 1 -1 0 0 0 0]
Macroscale p,29.9201713787,[1 -1 -2 0 0 0 0]
Macroscale t,(-29.9201713788 6.43985393822e-10 4.86799578444e-10 6.43985393822e-10 -29.9201713787 1.28839035122e-12 4.86799578444e-10 1.28839035122e-12 -29.9201713787),[1 -1 -2 0 0 0 0]
Macroscale d,(-2.29594450302e-08 3.57888133127e-07 2.73489945511e-07 3.57888133127e-07 -1.92070029316e-10 6.95275955884e-12 2.73489945511e-07 6.95275955884e-12 -2.49246014981e-10),[0 0 -1 0 0 0 0]
Macroscale mu,29920.1713631,[0 2 -2 0 0 0 0]
Macroscale psi,-29920.1005181,[0 2 -2 0 0 0 0]
Mass error,-2.46979555355e-17,[1 -3 -1 0 0 0 0]
Momentum error,(-7.43131332859e-09 -5.79614480282e-09 3.11898410382e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(9.14720651794e-12 3.27799548304e-13 2.64754451784e-13),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000002935 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(4.59145373492 1.20776470137e-05 5.74629083237e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(-0.0820902360783 -1.20718505411e-05 -5.74940955172e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-4.5914536965 -1.20857385476e-05 -5.73464313667e-06),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-4.59144670459 -1.20661393587e-05 -6.0042528042e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-4.5916826816 -4.60791891709e-06 -3.06448464587e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(4.59167055629 4.60803901363e-06 3.06593439993e-06),[1 -2 -2 0 0 0 0]
