Time,7144
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,1.30448502847,[0 -1 0 0 0 0 0]
Fit,0.0142468063123,[1 -3 -1 0 0 0 0]
K,0.00861198498159,[0 0 1 0 0 0 0]
TCAT Approx 1,2.35691578296e-11,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.104250157924 0.0031153032664 -0.00210925643787),[0 1 -1 0 0 0 0]
Macroscale p,51.181602415,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.181611595 -3.14690582143e-07 2.87886971064e-07 -3.14690582143e-07 -51.1816056565 5.4796313243e-07 2.87886971064e-07 5.4796313243e-07 -51.1816061777),[1 -1 -2 0 0 0 0]
Macroscale d,(-8.0428516474e-06 1.549892215e-05 4.81553208363e-06 1.549892215e-05 -6.96314637001e-08 -1.70376633941e-09 4.81553208363e-06 -1.70376633941e-09 -5.64069978609e-08),[0 0 -1 0 0 0 0]
Macroscale mu,51181.6023358,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-5.34676355025e-15,[1 -3 -1 0 0 0 0]
Momentum error,(-7.08290759377e-09 6.27038918369e-09 2.90025310496e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(4.22414701364e-07 8.10470994173e-09 -1.9969801172e-09),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005021 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.03076065038 6.53380881244e-06 9.61871616873e-06),[1 -2 -2 0 0 0 0]
Macroscale T,(0.405447429429 -6.53197449169e-06 -9.62361340195e-06),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.03075690854 -1.31702345176e-06 -1.1573151351e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.03075377394 -1.66332832862e-06 -1.21215970705e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.0294581889 -2.79295521632e-05 -3.81657737097e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767927e-05 4.40011658004e-06),[1 -2 -2 0 0 0 0]
