Time,2276
domain_center,(5.22988453099 5.2301407794 5.23094245444)
Reynolds Number,0.00326207141824,[0 -1 0 0 0 0 0]
Fit,0.0143040820853,[1 -3 -1 0 0 0 0]
K,0.00857750125213,[0 0 1 0 0 0 0]
TCAT Approx 1,4.75851152548e-18,[1 -1 -3 0 0 0 0]
e_w,0.350276007414,[0 0 0 0 0 0 0]
e_ws,1.06588091886,[0 -1 0 0 0 0 0]
sauder mean diameter,11.1293490648,[0 0 0 0 0 0 0]
Domain Volume,1147.35425819,[0 3 0 0 0 0 0]
w_volume,401.890668647,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000512,[1 -3 0 0 0 0 0]
Macroscale U,(0.000260622234726 1.00728226382e-05 -4.94736449618e-06),[0 1 -1 0 0 0 0]
Macroscale p,51.1626364948,[1 -1 -2 0 0 0 0]
Macroscale t,(-51.1626364949 6.91922055039e-11 7.31596653367e-11 6.91922055039e-11 -51.1626364948 3.46031149169e-12 7.31596653367e-11 3.46031149169e-12 -51.1626364948),[1 -1 -2 0 0 0 0]
Macroscale d,(-1.99189860203e-08 4.07040408885e-08 3.99528782936e-08 4.07040408885e-08 -1.76837128475e-10 -3.52774566893e-12 3.99528782936e-08 -3.52774566893e-12 -1.40461676551e-10),[0 0 -1 0 0 0 0]
Macroscale mu,51162.6364163,[0 2 -2 0 0 0 0]
Macroscale psi,-51162.5892908,[0 2 -2 0 0 0 0]
Mass error,-8.19280032272e-18,[1 -3 -1 0 0 0 0]
Momentum error,(-5.29720722842e-09 8.23042998892e-09 1.84407117655e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(2.72413892172e-12 5.78010013733e-14 9.52825812027e-15),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000005019 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.02927493273 1.65233230409e-06 1.21472455054e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.406932722882 -1.66056267627e-06 -1.2149089567e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.02927492337 -1.63909809012e-06 -1.2152272571e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.02927485356 -1.66425630577e-06 -1.21196371215e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.02797668505 -2.82420437948e-05 -4.39860400263e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.02797295709 2.82425767835e-05 4.40011656757e-06),[1 -2 -2 0 0 0 0]
