Time,21055
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,86.0065845891,[0 -1 0 0 0 0 0]
Fit,0.0441672080796,[1 -3 -1 0 0 0 0]
K,0.00358150294781,[0 0 1 0 0 0 0]
TCAT Approx 1,6.75478342321e-05,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000347,[1 -3 0 0 0 0 0]
Macroscale U,(8.41080143014 -0.102772353091 -0.473935103524),[0 1 -1 0 0 0 0]
Macroscale p,34.7301145619,[1 -1 -2 0 0 0 0]
Macroscale t,(-34.7801993381 0.000708309625791 0.00295100950139 0.000708309625791 -34.750647732 0.0013204106587 0.00295100950139 0.0013204106587 -34.7534771585),[1 -1 -2 0 0 0 0]
Macroscale d,(-0.00721849642468 -0.023148471502 -0.0269936002715 -0.023148471502 -8.74702989033e-06 2.01068929759e-06 -0.0269936002715 2.01068929759e-06 -9.5557612891e-06),[0 0 -1 0 0 0 0]
Macroscale mu,34730.1145347,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9849025,[0 2 -2 0 0 0 0]
Mass error,2.73144889889e-13,[1 -3 -1 0 0 0 0]
Momentum error,(3.27879279283e-10 6.40262100941e-09 7.6561642186e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(0.00261596054446 -0.000340726664193 -0.000337532094601),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003407 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.68245738643 -0.000520324619255 -0.000443763095731),[1 -2 -2 0 0 0 0]
Macroscale T,(0.221838491163 0.00017959155244 0.000106223344966),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.6815946425 -6.60722690764e-06 0.000240713283144),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.68047853767 -2.51284199887e-06 3.9223881775e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.68866791083 -1.71864778566e-05 0.000194582824098),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629395 1.09875850806e-05 7.58308992941e-06),[1 -2 -2 0 0 0 0]
