Time,1150
domain_center,(3.3442248792 3.34608791044 3.34240550524)
Reynolds Number,0.000574219865448,[0 -1 0 0 0 0 0]
Fit,0.04183021359,[1 -3 -1 0 0 0 0]
K,0.0037815964184,[0 0 1 0 0 0 0]
TCAT Approx 1,1.16303603324e-16,[1 -1 -3 0 0 0 0]
e_w,0.397724760839,[0 0 0 0 0 0 0]
e_ws,1.88658154337,[0 -1 0 0 0 0 0]
sauder mean diameter,9.08580956174,[0 0 0 0 0 0 0]
Domain Volume,300.364666563,[0 3 0 0 0 0 0]
w_volume,119.462465173,[0 3 0 0 0 0 0]
Macroscale rho,0.00100000000321,[1 -3 0 0 0 0 0]
Macroscale U,(5.60712315198e-05 -8.64588166703e-07 -4.36699153501e-06),[0 1 -1 0 0 0 0]
Macroscale p,32.145000903,[1 -1 -2 0 0 0 0]
Macroscale t,(-32.145000903 -3.49630010275e-10 -3.70987288169e-10 -3.49630010275e-10 -32.145000903 6.43508593103e-14 -3.70987288169e-10 6.43508593103e-14 -32.145000903),[1 -1 -2 0 0 0 0]
Macroscale d,(-4.79930201787e-08 -1.9626525226e-07 -2.07523157752e-07 -1.9626525226e-07 -5.53115635933e-11 1.47342431617e-11 -2.07523157752e-07 1.47342431617e-11 -5.85871677679e-11),[0 0 -1 0 0 0 0]
Macroscale mu,32145.0008826,[0 2 -2 0 0 0 0]
Macroscale psi,-32144.9848991,[0 2 -2 0 0 0 0]
Mass error,-4.47873199891e-18,[1 -3 -1 0 0 0 0]
Momentum error,(-4.08242095684e-09 2.5194267895e-11 -9.09281012084e-09),[1 -2 -2 0 0 0 0]
Macroscale ddt(rho*U),(0 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(rho*U*U),(1.40154818261e-13 -1.9434126056e-14 -1.76904566603e-14),[1 -2 -2 0 0 0 0]
Macroscale rho*g,(-9.81000003153 0 0),[1 -2 -2 0 0 0 0]
Macroscale div(t),(3.31064187167 1.19123027404e-06 -3.51170823048e-05),[1 -2 -2 0 0 0 0]
Macroscale T,(0.591038048785 -1.19125548774e-06 3.51261750972e-05),[1 -2 -2 0 0 0 0]
Macroscale grad(pressure),(-3.31064186592 -1.19580706197e-06 3.51150327729e-05),[1 -2 -2 0 0 0 0]
BAD Macroscale grad(pressure),(-3.31064181062 -1.12882863815e-06 3.51758500123e-05),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(chem potential),(-3.31718863974 -1.09877475618e-05 -7.58144686758e-06),[1 -2 -2 0 0 0 0]
Macroscale e_w*rho*grad(potential),(3.31718629427 1.09875762846e-05 7.58307017337e-06),[1 -2 -2 0 0 0 0]
